year,from,to,pop
2019,臺南市,連江縣,255
2019,臺南市,金門縣,4595
2019,臺南市,雲林縣,10306
2019,臺南市,高雄市,220537
2019,臺東縣,南投縣,1604
2019,臺東縣,嘉義市,623
2019,臺東縣,嘉義縣,1204
2019,臺東縣,基隆市,3016
2019,臺東縣,宜蘭縣,1955
2019,臺東縣,屏東縣,4306
2019,臺東縣,彰化縣,3625
2019,臺東縣,新北市,33390
2019,臺東縣,新竹市,1928
2019,臺東縣,新竹縣,2385
2019,臺東縣,桃園市,25343
2019,臺東縣,澎湖縣,303
2019,臺東縣,臺中市,16374
2019,臺東縣,臺北市,13381
2019,臺東縣,臺南市,6952
2019,臺東縣,臺東縣,152496
2019,臺東縣,花蓮縣,9962
2019,臺東縣,苗栗縣,1656
2019,臺東縣,連江縣,96
2019,臺東縣,金門縣,737
2019,臺東縣,雲林縣,1586
2019,臺東縣,高雄市,17839
2019,花蓮縣,南投縣,1680
2019,花蓮縣,嘉義市,654
2019,花蓮縣,嘉義縣,1061
2019,花蓮縣,基隆市,3833
2019,花蓮縣,宜蘭縣,4739
2019,花蓮縣,屏東縣,2500
2019,花蓮縣,彰化縣,2479
2019,花蓮縣,新北市,46746
2019,花蓮縣,新竹市,3021
2019,花蓮縣,新竹縣,3939
2019,花蓮縣,桃園市,32529
2019,花蓮縣,澎湖縣,323
2019,花蓮縣,臺中市,14145
2019,花蓮縣,臺北市,25188
2019,花蓮縣,臺南市,4703
2019,花蓮縣,臺東縣,6680
2019,花蓮縣,花蓮縣,234014
2019,花蓮縣,苗栗縣,2294
2019,花蓮縣,連江縣,174
2019,花蓮縣,金門縣,1026
2019,花蓮縣,雲林縣,1469
2019,花蓮縣,高雄市,9925
2019,苗栗縣,南投縣,2932
2019,苗栗縣,嘉義市,833
2019,苗栗縣,嘉義縣,1514
2019,苗栗縣,基隆市,4575
2019,苗栗縣,宜蘭縣,1648
2019,苗栗縣,屏東縣,2427
2019,苗栗縣,彰化縣,5315
2019,苗栗縣,新北市,74291
2019,苗栗縣,新竹市,18371
2019,苗栗縣,新竹縣,18689
2019,苗栗縣,桃園市,59007
2019,苗栗縣,澎湖縣,379
2019,苗栗縣,臺中市,48607
2019,苗栗縣,臺北市,42729
2019,苗栗縣,臺南市,5071
2019,苗栗縣,臺東縣,1608
2019,苗栗縣,花蓮縣,2652
2019,苗栗縣,苗栗縣,381549
2019,苗栗縣,連江縣,130
2019,苗栗縣,金門縣,1178
2019,苗栗縣,雲林縣,2203
2019,苗栗縣,高雄市,10125
2019,連江縣,南投縣,45
2019,連江縣,嘉義市,26
2019,連江縣,嘉義縣,39
2019,連江縣,基隆市,298
2019,連江縣,宜蘭縣,55
2019,連江縣,屏東縣,77
2019,連江縣,彰化縣,65
2019,連江縣,新北市,3315
2019,連江縣,新竹市,121
2019,連江縣,新竹縣,122
2019,連江縣,桃園市,5490
2019,連江縣,澎湖縣,13
2019,連江縣,臺中市,423
2019,連江縣,臺北市,1665
2019,連江縣,臺南市,151
2019,連江縣,臺東縣,33
2019,連江縣,花蓮縣,57
2019,連江縣,苗栗縣,79
2019,連江縣,連江縣,5090
2019,連江縣,金門縣,59
2019,連江縣,雲林縣,54
2019,連江縣,高雄市,365
2019,金門縣,南投縣,88
2019,金門縣,嘉義市,54
2019,金門縣,嘉義縣,69
2019,金門縣,基隆市,173
2019,金門縣,宜蘭縣,97
2019,金門縣,屏東縣,125
2019,金門縣,彰化縣,149
2019,金門縣,新北市,4384
2019,金門縣,新竹市,281
2019,金門縣,新竹縣,227
2019,金門縣,桃園市,2546
2019,金門縣,澎湖縣,29
2019,金門縣,臺中市,960
2019,金門縣,臺北市,2291
2019,金門縣,臺南市,444
2019,金門縣,臺東縣,35
2019,金門縣,花蓮縣,113
2019,金門縣,苗栗縣,96
2019,金門縣,連江縣,14
2019,金門縣,金門縣,72446
2019,金門縣,雲林縣,90
2019,金門縣,高雄市,972
2019,雲林縣,南投縣,10084
2019,雲林縣,嘉義市,12260
2019,雲林縣,嘉義縣,20601
2019,雲林縣,基隆市,5197
2019,雲林縣,宜蘭縣,3053
2019,雲林縣,屏東縣,4397
2019,雲林縣,彰化縣,18584
2019,雲林縣,新北市,171746
2019,雲林縣,新竹市,6131
2019,雲林縣,新竹縣,5788
2019,雲林縣,桃園市,50416
2019,雲林縣,澎湖縣,783
2019,雲林縣,臺中市,69371
2019,雲林縣,臺北市,62835
2019,雲林縣,臺南市,20307
2019,雲林縣,臺東縣,3054
